"assembly","old_guid","old_file_id","full_name","source_path","source_guid","source_file_id"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-2139171023","Google2u.Shotgun_SGT8","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/Shotgun_SGT8.cs","7e12a5343c88598411b5a14d9cd307ff","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-2117384271","Google2u.GrenadeLauncher_GLT9","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/GrenadeLauncher_GLT9.cs","958c21e745d72d6becd8fd7a9b8a1895","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-2056216947","Google2u.Shotgun_DP12BM","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/Shotgun_DP12BM.cs","e6b11b58e3fbeb6ae69912ec189896c5","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-2001482349","Google2u.WeaponAugLevels","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/WeaponAugLevels.cs","cd45857daafb46a867e9344258720245","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1970563054","Google2u.Grenade_GT9","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/Grenade_GT9.cs","2bdd24a9059325e32266f7140ca6366f","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1968489328","LaserRenderer","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/LaserRenderer.cs","5a69012e8cce27cfcc8929c00f31530d","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1954749620","Google2u.AdBoosterWeights","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/AdBoosterWeights.cs","ac3f8442f0290a8035c73f6d14c70efe","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1954017137","Google2u.Grenade_GT9BM","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/Grenade_GT9BM.cs","2dd0960a1784cc8033e86cbb17835a5d","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1946068229","Google2u.AssaultRifle_ART9BM","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/AssaultRifle_ART9BM.cs","7f6ed87e618c179c29b887311f870309","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1923597303","Google2u.Shotgun_SGT9","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/Shotgun_SGT9.cs","ca57605242bd1a56194cc1f642400266","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1915136243","Google2u.LMG_T8BM","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/LMG_T8BM.cs","6a3d0e8109be6ac33ce249962ca6dc57","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1914352199","Google2u.LMG_T8","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/LMG_T8.cs","55f49affd9d174bfa35d80cefa4fc6df","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1886664197","Google2u.PulseRifle_Grade8","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/PulseRifle_Grade8.cs","d4d7e3b1c4f10e8b437a138a8439f44f","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1869434317","Google2u.PulseRifle_Grade7BM","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/PulseRifle_Grade7BM.cs","370cbaa065aa0c0d7da6155bc5a34797","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1866542102","Google2u.DBUpgradeSlotsBunker","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/DBUpgradeSlotsBunker.cs","fe9327ebe30d2dbb826aeb3d5aec8401","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1838782545","Google2u.PulseRifle_Grade2BM","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/PulseRifle_Grade2BM.cs","da96e1b4962e99bf77325a13e3372eec","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1831053289","Google2u.SpecialOperations","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/SpecialOperations.cs","8bea1620717fb9a51fd70deb82b75f82","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1829535190","Google2u.SMG_Apollo","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/SMG_Apollo.cs","d7c397a4d9bc027150a555bb93ba226c","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1724954166","Google2u.SniperRifle_SRT8","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/SniperRifle_SRT8.cs","f218cb81b4f463faa89eacbd67b61974","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1687944224","Google2u.Prestige","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/Prestige.cs","8871fc261b9e105e53a0271673fd3d14","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1580043750","Google2u.DBUpgradeSlotsBreach","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/DBUpgradeSlotsBreach.cs","0b13e5c821dec82d28e1e49450252f7b","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1545507929","Google2u.DBUpgradeSlotsHavoc","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/DBUpgradeSlotsHavoc.cs","7db7d5175bb8c275377d77106775bef5","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1492716916","Google2u.AssaultRifle_ART8","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/AssaultRifle_ART8.cs","e6fd8fd65b392830a20f2f4b4a501adc","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1437658455","Google2u.PulseRifle_Grade3","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/PulseRifle_Grade3.cs","43d1c5654872514cc7cef5fb26727497","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1414427414","Google2u.LMG_MinigunElite","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/LMG_MinigunElite.cs","625c6733790d3896b09f610361c0c0a1","11500000"
"WarFriends.ResourceCompatibility.FirstPass","ac2116c440a88b441990deaeb6e59e4b","-1319481033","Google2u.PulseRifle_Grade1","Client/ExportedProject/Assets/Scripts/ResourceCompatibility.FirstPass/Google2u/PulseRifle_Grade1.cs","c99f51c8c30cb44e2a94d3f910642c55","11500000"
